Increase,Node
4,coral_reef_2MR
-2,coral_reef_OTHER
0,reef_fish
0,pelagic_fish
0,wetlands
0,lakes
0,invertebrates
0,biodiversity
0,turtles
-3,dive_tourism
0,fishing_tourism
0,illegal_clearance
0,community_fishing
0,pesticides
0,community_acceptance
-2,operator_acceptance
0,employment
0,community_income
0,climate_impacts
0,climate_resilience
